document_id,query_id,round,user,position,Okapi,LM,TF,NormTF,LEN,FracStop,StopCover,ENT,BERT
ROUND-06-144_144_1_T-D5KJCA,144,6,D5KJCA,4,16.67762,-10.920649,12,6.331146,106,0.41509434,0.12849162,3.920806646,0.999677658
ROUND-07-144_144_1_T-D5KJCA,144,7,D5KJCA,2,16.300571,-11.34446,8,5.6701684,59,0.423728814,0.100558659,3.462801288,0.999691248
ROUND-07-144_144_1_T-JMEXAI,144,7,JMEXAI,1,17.014076,-10.517516,12,6.0414443,116,0.474137931,0.145251397,3.650482254,0.999732435
ROUND-07-144_144_1_T-BABUSQ,144,7,BABUSQ,4,16.900665,-10.702872,12,6.4998426,134,0.462686567,0.162011173,3.902556514,0.999593675
ROUND-07-144_144_0_T-AFOPDT,144,7,AFOPDT,3,16.810688,-10.810011,11,6.5260067,128,0.4296875,0.12849162,3.95582324,0.999795377
ROUND-07-144_144_0_T-DARU2T,144,7,DARU2T,1,16.34608,-11.240437,8,6.618828,106,0.433962264,0.117318436,3.900496172,0.999809325
ROUND-07-144_144_0_T-3QROR8,144,7,3QROR8,4,17.332926,-10.072927,17,5.917704,139,0.366906475,0.139664804,4.062678627,0.999658704
ROUND-07-144_144_1_T-Z8LR6O,144,7,Z8LR6O,3,16.240873,-11.414967,8,6.6645155,97,0.443298969,0.145251397,3.871808295,0.999812424
ROUND-07-144_144_0_T-XK862E,144,7,XK862E,2,17.37293,-9.948381,16,5.7889404,140,0.521428571,0.150837989,3.80675293,0.999751508
ROUND-01-161_161_0_T-7KO86D,161,1,7KO86D,4,13.522069,-16.367626,15,10.437353,153,0.379084967,0.189944134,4.280510927,0.999766648
ROUND-01-161_161_0_T-0RMWXM,161,1,0RMWXM,1,14.160325,-15.378714,19,8.286081,100,0.42,0.12849162,3.401292064,0.999826014
ROUND-01-161_161_0_T-Z8LR6O,161,1,Z8LR6O,2,14.3571615,-14.895483,23,8.347507,123,0.406504065,0.162011173,3.7464321,0.999663591
ROUND-01-161_161_1_T-HK6IT5,161,1,HK6IT5,4,13.747428,-16.180567,15,9.860914,132,0.416666667,0.139664804,4.03588641,0.999711335
ROUND-01-161_161_1_T-XJJWBO,161,1,XJJWBO,1,13.216512,-16.832802,13,10.766306,144,0.430555556,0.156424581,4.1472063,0.999649525
ROUND-01-161_161_1_T-XK862E,161,1,XK862E,2,14.133249,-15.285698,21,9.263585,150,0.546666667,0.173184358,3.675235979,0.999815404
ROUND-01-161_161_1_T-AFOPDT,161,1,AFOPDT,3,12.9447975,-17.05724,12,10.976511,143,0.440559441,0.201117318,4.20847173,0.998776972
ROUND-01-161_161_0_T-GZ4HPV,161,1,GZ4HPV,3,14.066845,-15.677853,18,9.664731,149,0.375838926,0.145251397,4.173570406,0.999671578
ROUND-02-161_161_0_T-Z8LR6O,161,2,Z8LR6O,4,14.585697,-14.02906,32,7.8879147,145,0.372413793,0.162011173,3.758266518,0.999757826
ROUND-02-161_161_0_T-GZ4HPV,161,2,GZ4HPV,1,14.1813965,-15.348253,20,9.118801,138,0.362318841,0.122905028,3.919690898,0.999838591
